 Procedimentos hospitalares do SUS - por local de internação - Brasil
AIH aprovadas por Unidade da Federação e Ano/mês processamento
Período:Jan/2008-Mar/2021
"Unidade da Federação";"2008/Jan";"2008/Fev";"2008/Mar";"2008/Abr";"2008/Mai";"2008/Jun";"2008/Jul";"2008/Ago";"2008/Set";"2008/Out";"2008/Nov";"2008/Dez";"2009/Jan";"2009/Fev";"2009/Mar";"2009/Abr";"2009/Mai";"2009/Jun";"2009/Jul";"2009/Ago";"2009/Set";"2009/Out";"2009/Nov";"2009/Dez";"2010/Jan";"2010/Fev";"2010/Mar";"2010/Abr";"2010/Mai";"2010/Jun";"2010/Jul";"2010/Ago";"2010/Set";"2010/Out";"2010/Nov";"2010/Dez";"2011/Jan";"2011/Fev";"2011/Mar";"2011/Abr";"2011/Mai";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Set";"2011/Out";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"2021/Mar";"Total"
"11 Rondônia";4142;7301;4318;4285;4511;3871;7560;7615;7507;7098;7004;6609;6441;7501;7835;7882;8462;8033;7950;7986;7842;8293;8497;8486;8561;8375;8198;8530;8769;8005;8440;8322;8776;8461;8056;7772;8014;7912;8362;8711;8553;8170;8038;8386;9272;8031;8002;7357;7998;7690;8101;8365;8775;8798;8351;7834;7480;7479;7222;6424;7515;8162;9436;9347;8914;8940;8755;9235;9141;9404;9436;9037;9200;9167;9249;9907;10697;9726;9713;9972;9905;9449;9647;9434;9592;8905;9091;8989;9996;9669;10185;9380;9176;9206;8998;8371;8956;9476;9439;10046;9397;10070;9631;9360;9090;8558;8661;8615;9061;8523;9484;10086;9317;9505;9569;9388;9106;9936;9674;9783;9446;9930;10315;10290;10537;10158;9965;10379;9494;10422;9498;9444;9708;9623;9899;10939;11252;10380;10646;10202;10244;10013;10283;9711;11116;9300;9552;7674;7530;6849;8353;8473;8907;8165;9058;8130;8065;6463;6431;1387140
"12 Acre";2087;3071;3783;3737;3609;4026;4880;4250;4552;4128;3836;4128;4430;4240;4162;4897;4647;4291;4582;4379;-;4689;3959;4327;4412;3665;4203;4735;4505;4143;3891;3906;4051;3778;4343;4055;4712;4235;4364;4412;4287;4567;4438;4031;4234;4150;4629;4210;3945;3310;4488;4436;4501;4636;4253;4685;3800;4577;4578;4044;4227;4565;4543;4816;4169;4194;3982;4082;4197;4358;4186;4417;5218;4355;4313;4244;4635;4332;4553;4252;4378;4551;4463;3604;4244;3975;4480;3909;3998;4021;3918;4141;4365;4222;3979;4041;3520;4220;4107;3983;4081;4388;4312;4322;4023;4180;3681;3715;3512;3800;3573;3428;3591;3000;2953;3877;3939;4622;4439;3487;4608;3254;3341;4252;3339;3977;3958;4000;3709;3988;3778;2591;3284;2902;3799;3037;3658;4213;4403;4033;3889;4255;3632;3484;3784;4089;3771;2962;3112;3191;3488;3776;3498;4246;3612;3698;3933;3494;4007;638624
"13 Amazonas";9325;12807;14827;14606;12880;14120;15476;15708;15108;14658;12437;12368;11080;10236;14524;13037;12922;12847;13973;13386;13963;13205;12736;12435;13558;12834;13209;14215;14016;14184;14108;12235;11712;14062;13575;13663;14113;12905;13818;14037;14822;14257;15450;13604;13385;13303;13085;15085;12944;13190;14065;13643;14391;14415;14407;13376;13898;13894;14134;12158;14349;13253;13800;14504;14225;14536;14462;14509;13748;13752;13181;13105;13996;11896;12149;11662;13699;12209;12093;12468;13191;13636;13247;12417;13242;13169;13185;13669;14871;15142;15534;14566;14410;14242;14101;12777;13492;14233;14674;13689;14606;14923;14022;14407;14635;12756;12605;12290;13701;12802;15101;14598;15400;14825;15408;14984;14966;15102;13859;14337;15074;14365;15120;15446;15705;15410;15802;15657;15803;16095;15196;15117;17444;15345;16796;16052;17051;15779;17043;16103;16964;16725;16206;15284;16411;15479;16265;13093;14317;14972;15054;14244;15290;15429;15085;13885;14517;17265;15855;2251567
"14 Roraima";1475;1812;1813;1964;2037;2030;2307;2153;1913;2550;2416;2233;2190;1971;2277;2340;2974;2570;2828;3024;3049;2108;2592;2122;2280;2027;2787;2898;2940;2912;2905;2701;2762;2580;2510;1897;1905;1912;2341;2262;1847;2017;2184;2426;2377;2284;2644;3070;2289;2708;3041;3107;3251;2926;2755;2711;2503;2103;2423;2265;2240;2347;2837;2748;3201;3245;3612;3289;2873;2652;2737;2104;2820;2836;2724;2257;2663;2481;2725;2572;2346;2415;2800;1690;2759;2930;2636;3260;2705;2531;3110;3454;3172;3201;2725;2351;2748;2423;2928;3327;3476;3384;3811;3728;3717;3732;3802;3193;3173;2989;3510;3829;3878;3915;4189;3969;3549;3655;3489;3513;3717;3776;3567;3461;3504;3661;3661;3739;3471;3901;3696;3591;3274;3086;2871;3172;3033;3591;4324;4881;4366;4288;4019;3767;3679;3775;3576;3132;2916;2846;2899;3263;3063;3481;3435;3496;3157;3304;3278;465990
"15 Pará";38628;41537;42832;41154;44685;43548;45150;43701;44296;43830;40760;39635;40858;40871;44319;43596;43326;42655;47135;46234;46070;45917;42610;43672;43610;43935;45613;43516;46279;44347;43518;43295;44776;43954;43295;42756;44864;43509;44214;43696;40488;43735;40551;40388;43950;42385;41755;41921;42778;41725;43058;42383;43172;41901;40696;32903;41276;40177;38914;39205;39694;41645;42951;42646;42954;42481;41675;40863;41081;41436;40587;40986;39270;40039;41387;41640;41714;42026;40327;41224;42133;40835;41213;39084;39064;38574;39712;40626;40517;40383;39788;40674;39306;39296;36793;37152;37348;40685;38603;39424;38964;38250;38810;40538;39171;39568;36353;35945;37874;38784;38240;39490;39638;40400;39264;39984;42506;42518;40717;40967;39487;39306;40553;41899;41519;41406;40710;41713;42521;44184;41147;39475;38268;39379;40493;41863;42449;41512;37799;38526;41093;41973;41094;40501;39529;40926;39504;30762;29909;32102;33340;38719;36072;37057;38147;36941;36537;34126;27721;6481636
"16 Amapá";2386;2650;2262;2259;1555;2611;2733;2808;3154;3502;2801;2843;2985;3417;3285;3657;3118;3033;3263;3169;3235;3202;3358;3018;3111;3000;2862;2769;2849;3100;3101;2920;3289;2970;3300;3313;3040;2971;2511;3073;3322;3116;3476;3082;3175;3003;3032;3214;3055;2914;3101;3159;3248;3241;3240;3268;3309;3295;3347;3205;3310;2867;2938;3270;3385;3208;3185;3388;3240;3167;3222;3035;3180;2979;2897;3151;3447;2459;3365;3250;3187;3175;2780;2979;2727;2325;2805;3011;2926;3174;3043;2806;3176;3062;2818;2779;2607;2499;2511;2667;2724;2917;2949;2763;2831;2682;2734;2769;2730;2676;2768;2638;3017;2860;2762;2863;3038;2909;2854;2493;2646;2842;3018;2723;2504;3233;2897;3506;3693;3921;3438;3591;3640;3463;3468;3468;3543;3186;3427;3546;3334;3330;3336;3135;3119;3213;2420;2017;2118;2350;3010;3072;2945;2367;2398;2944;2872;3313;3360;478668
"17 Tocantins";6665;7763;9624;8480;8768;8289;8838;8439;8752;8180;8329;7680;7857;8546;8713;8475;8816;8866;8339;8445;8345;8474;8343;7805;8611;8523;8847;9016;9204;8948;8889;9039;8926;8797;8775;8015;8801;8865;9057;9296;9446;9318;8860;8452;8458;8841;9482;9901;9473;9175;10091;9689;9452;9489;8641;8959;8360;8357;7715;7611;7900;8370;9250;9328;9353;9340;8400;9246;8671;9288;8427;8149;8809;8630;8934;8563;8542;8084;8223;9218;9220;9223;8365;6977;7297;6925;7320;8033;6975;7378;7421;6875;6418;6458;6445;5313;5847;6761;7173;6734;6817;6739;6983;6493;6163;5988;6498;6333;5945;6134;7290;6365;7220;6679;5894;6810;6836;5552;5892;5803;5976;5526;6335;5166;5851;6254;5783;5917;5388;5357;5249;5209;5698;6112;6142;6428;6849;6166;7066;7477;8342;7301;6442;7136;7522;6861;6890;6247;6330;6061;6734;6305;6108;6191;454;447;370;404;845;1185466
"21 Maranhão";21417;25805;26850;28772;28429;29316;29910;29498;28590;30357;27366;27278;26069;28265;28793;30327;30668;30668;31163;32226;32852;33025;31319;31488;32399;30728;34042;32894;34173;34022;34158;33968;33072;34838;35290;33452;33998;34084;35035;35254;33693;33634;33696;33617;33686;34939;34067;35067;33818;33227;34139;35558;36313;33860;34724;33494;33191;31164;30833;28549;31919;32055;33422;34572;34588;35228;35604;35736;35702;35536;35171;34376;34904;33605;34206;34969;36096;35272;35937;36108;36850;34312;34882;33271;33090;33676;37384;36278;37448;36960;36888;36389;35860;36086;34468;34201;35088;34558;35461;35867;36409;35588;34733;35562;35005;33138;31797;27299;31511;35460;37299;35542;37291;37422;39110;37118;37274;36065;36491;38779;39725;36463;39732;41053;40989;39525;39687;39987;38859;39276;38369;37713;39155;36254;39560;40068;40930;38597;39033;38919;38973;39515;38132;36616;38314;36822;35621;28675;29901;29235;31348;32088;32200;34272;33166;30979;31519;29854;29075;5446242
"22 Piauí";15878;19100;18503;19002;19527;19305;20258;19209;19685;20360;19083;17624;17652;17965;18842;19719;20891;21531;21235;20312;19950;19704;19936;20312;21164;19424;21176;20294;21109;20284;19635;19224;18909;19067;18938;18569;19349;18513;20319;19731;19617;18313;19264;18471;19261;18568;18449;18173;18994;17104;18481;18373;19362;18472;18369;19058;18751;17696;17435;15723;18143;17679;18647;19026;19980;19277;19278;19548;17644;18363;17275;16539;18970;17213;18349;17820;18316;17558;16929;17438;17887;17682;16601;15588;16626;16284;17325;17938;18806;17604;17365;17870;17544;18429;18670;17339;18038;17766;18799;18427;18791;19025;18616;18506;18440;17846;17465;17043;17552;16636;17360;17812;18685;17688;17629;17926;18137;17181;16867;17890;17827;17234;18543;18435;18692;18658;18346;18686;18092;18064;17506;18257;17724;17004;17920;17938;18737;18625;18522;18861;18897;19491;18662;18409;17932;17643;15992;12437;13099;13642;14447;15092;14686;16059;15322;15577;17670;14805;14424;2890854
"23 Ceará";29823;40186;42990;44985;44579;44199;43544;42269;42966;40182;34305;38475;36653;38395;45499;43540;44405;43058;42700;43215;42426;42252;41786;39746;39898;40274;42741;42626;43804;42590;41870;42778;41280;40106;40727;38889;40628;41895;41834;42008;37788;41112;41972;40211;39784;40947;40796;40150;38134;36663;39052;39813;40324;39861;37581;37919;36905;35721;36048;34118;34841;35465;38434;41010;41709;39215;40736;39645;41106;42192;38718;37842;39941;38394;39131;39727;42454;39922;42246;40991;42085;39754;40859;39471;38437;36851;40614;41137;42421;40904;41720;41931;41813;40555;40018;38182;38221;37721;39310;41116;41896;40992;39935;40771;40139;39753;38885;37575;37246;37116;40042;38972;41057;39916;40464;40889;39829;40779;39993;38125;40923;38676;42846;43494;43673;42555;43346;43904;41142;43169;41321;39711;44628;42262;43924;44723;46006;44192;44884;45198;44713;44927;42757;43069;43644;40991;41228;35117;34252;36566;38085;36451;36402;38829;38653;36177;37034;36579;35405;6423694
